1,25.66
2,37.45
3,20.25
4,23.55
5,15.17
6,18.96
7,29.02
8,26.93
9,27.8
10,22.78
11,20.22
12,31.36
13,13.68
14,14.05
15,16.27
16,13.1
17,15.85
18,22.85
19,32.32
20,22.61
21,30.91
22,25.12
23,28.6
24,34.08
25,29.07
26,7.91
27,18.4
28,12.53
29,25.82
30,18.61
31,18.82
32,13.91
33,9.63
34,15.83
35,24.54
36,26.3
37,29.09
38,30.65
39,24.56
40,33.35
41,30.45
42,23.5
43,25.04
44,19.98
45,18.93
46,14.63
47,33.08
48,29.71
49,30.73
50,15.71
51,32.96
52,17.19
53,26.59
54,19.84
55,18.18
56,26.03
57,27.98
58,34.85
59,22.19
60,29.95
61,27.85
62,13.62
63,13.49
64,10.52
65,21.27
66,15.57
67,13.51
68,15.89
69,16.27
70,16.55
71,16.6
72,22.92
73,16.38
74,20.23
75,27.23
76,21.23
77,19.93
78,20.08
79,17.45
80,16.65
81,13.82
82,17.83
83,6.99
84,6.84
85,31.43
86,23.26
87,15.98
88,19.11
89,9.65
90,19.42
91,18.72
92,22.25
93,31.47
94,11.29
95,16.58
96,14.98
97,20.15
98,16.97
99,27.48
100,18.68
101,19.36
102,34.72
103,11.59
104,14.65
105,22.08
106,25.04
107,22.47
108,22.72
109,23.15
110,9.97
111,21.16
112,21.33
113,14.41
114,32.16
115,14.58
116,16.26
117,17.67
118,20.85
119,16.83
120,11.79
121,20.38
122,22.27
123,16.21
124,14.98
125,11.92
126,12.52
127,10.32
128,11.51
129,19.35
130,22.27
131,23.42
132,14.9
133,26.29
134,10.99
135,22.74
136,12.47
137,21.68
138,16.1
139,8.83
140,13.81
141,19.32
142,21.49
143,19.22
144,20.01
145,27.88
146,28.41
147,30.81
148,23.55
149,29.12
150,26.77
151,22.89
152,24.94
153,38.7
154,32.74
155,27.19
156,26.43
157,31.97
158,23.4
159,27.49
160,29.27
161,28.26
162,18.09
163,12.65
164,13.95
165,11.11
166,10.79
167,12.05
168,13.24
169,16.43
170,17.21
171,17.88
172,18.09
173,11.62
174,18.63
175,17.23
176,26.68
177,33
178,26.65
179,14.15
180,24.69
181,15.34
182,16.97
183,28.89
184,28.78
185,18.92
186,13.99
187,18.46
188,12.05
189,13.48
190,11.59
191,24.61
192,25.57
193,13.54
194,6.92
195,9.24
196,14.76
197,12.96
198,16.76
199,15.42
200,34.88
201,23.16
202,17.15
203,18.25
204,28
205,22.65
206,15.53
207,18.11
208,33.37
209,25.49
210,14.7
211,22.15
212,31.57
213,20.72
214,18.55
215,24.36
